OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,wind speed,gust,humidity
170588,172263,FS-401033,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,18,NA,A3H1,KP,AZ-ASF-000017,KP,AZ3357010928920040517,KP,NA,2004,138,1640,16625,G,9,16,9
161550,163123,FS-391112,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,55,NA,150,THOMAS,AZ-ASF-051,THOMAS,AZ3365410922320030606,THOMAS,BLUE RIVER COMPLEX,2003,157,1330,10644,G,9,18,19
31561,31715,FS-1472154,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,55,3,D8QJ,HOT AIR,AZ-ASF-080055,Hot Air,AZ3346810936720080622,HOT AIR,NA,2008,174,1315,8300,G,12,20,27
170361,172034,FS-400797,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,32,NA,A4KY,THREE FORKS,AZ-ASF-000025,THREE FORKS,AZ3387810932020040608,THREE FORKS,NA,2004,160,1130,7905,G,16,24,12
26115,26240,FS-1457764,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,197,53,D0Z0,WILKINS,AZ-ASF-070537,wilkins,AZ3454811103920070912,WILKINS,NA,2007,255,1629,7762,G,7,0,78
40851,41050,FS-1483372,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,99,27,E4V7,DURFEE,AZ-ASF-090217,Durfee,AZ3450711077720090806,CHEVLON COMPLEX (WEIMER),CHEVLON COMPLEX,2009,208,1300,6399,G,3,0,19
41371,41575,FS-1483971,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,153,32,E74D,RENO,AZ-ASF-090319,Reno,AZ3363010947320090907,RENO,NA,2009,250,1400,6322,G,7,0,34
11954,12007,FS-1440021,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,69,23,CN2Y,POTATO,AZ-ASF-060252,POTATO COMPLEX,AZ3454711071420060608,UNNAMED,POTATO COMPLEX ,2006,157,1410,6262,G,16,24,15
161551,163124,FS-391113,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,138,NA,166,STEEPLE,AZ-ASF-077,Steeple,AZ3361310928420030712,STEEPLE,BLUE RIVER COMPLEX,2003,193,1640,6105,G,39,49,15
41157,41357,FS-1483716,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,118,36,E4V7,WEIMER,AZ-ASF-090244,Weimer,AZ3450711077720090806,CHEVLON COMPLEX (WEIMER),CHEVLON COMPLEX,2009,218,1309,4170,F,7,20,37
161533,163106,FS-391095,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,94,NA,160,MAPLE,AZ-ASF-094,Maple,AZ3335310908520030705,MAPLE,NA,2003,186,1400,2850,F,13,23,10
41168,41368,FS-1483727,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,121,38,E4V7,CROSSING,AZ-ASF-090249,Crossing,AZ3444811094120090807,CHEVLON COMPLEX (CROSSING),CHEVLON COMPLEX,2009,219,1130,2769,F,14,22,20
28210,28346,FS-1460524,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,56,9,D84B,BEAR MOUNTAIN,AZ-ASF-080120,BEAR MOUNTAIN,AZ3354010913020080622,BEAR MOUNTAIN,NA,2008,174,1600,2494,F,9,0,23
161529,163102,FS-391091,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,91,NA,161,MAVERICK,AZ-ASF-091,Maverick,AZ3310610913920030705,MAVERICK,NA,2003,186,1700,2000,F,9,21,13
3313,3331,FS-1425860,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,42,5,3014,SNAKE RIDGE FIRE,AZ-ASF-000123,SNAKE RIDGE,AZ3316410919320050621,SNAKE RIDGE,NA,2005,173,1130,1900,F,12,24,17
19048,19147,FS-1449157,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,8,1,C9S4,JUMP,AZ-AZS-070132,Jump,AZ3411310933620070225,JUMP,NA,2007,56,1250,1746,F,17,21,17
40494,40691,FS-1482958,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,122,27,E4WT,WILDCAT,AZ-ASF-090247,Wildcat,NA,NA,NA,2009,219,1230,633,E,13,23,19
33450,33616,FS-1474399,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,147,63,EKV0,PALOMINO,AZ-ASF-080317,Palomino,NA,NA,NA,2008,289,1230,400,E,14,22,21
3324,3342,FS-1425884,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,81,9,BZ53,SUNFLOWER,AZ-ASF-000198,Sunflower,NA,NA,NA,2005,190,1505,385,E,9,0,13
149086,150539,FS-377529,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,40,NA,115,WEIMER,AZ-ASF-098,Weimer,NA,NA,NA,2002,141,1044,280,D,24,29,10
25364,25484,FS-1456864,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,12,3,DEJ9,SHADOW PINES,AZ-ASF-070055,SHADOW PINES,NA,NA,NA,2007,123,800,212,D,0,0,37
40749,40948,FS-1483251,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,75,14,EKV0,PIERCE MOUNTAIN,AZ-ASF-090183,Pierce Mountain,NA,NA,NA,2009,199,1416,200,D,6,17,22
25333,25453,FS-1456825,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,36,10,DGV3,VINCENT,AZ-ASF-070123,VINCENT,NA,NA,NA,2007,149,800,191,D,10,0,22
33298,33462,FS-1474193,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,123,50,DZ8B,DUTCH JOE,AZ-ASF-080261,Dutch Joe,NA,NA,NA,2008,206,801,167,D,6,0,47
40473,40670,FS-1482936,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,112,32,EKV0,HOME,AZ-ASF-090237,Home,NA,NA,NA,2009,216,1020,127,D,3,0,23
25472,25593,FS-1456977,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,5,2,C64R,MARTINEZ,NA,NA,NA,NA,NA,2007,109,1500,85,C,16,26,18
41197,41398,FS-1483759,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,178,64,EKV0,CAMP KNOLL,NA,NA,NA,NA,NA,2009,291,1300,62,C,10,0,36
149108,150561,FS-377551,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,174,NA,0,TILLMAN,NA,NA,NA,NA,NA,2002,210,1800,58,C,9,0,21
10662,10710,FS-1438230,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,45,4,CLU6,SUNSET,NA,NA,NA,NA,NA,2006,140,800,56,C,15,0,29
28222,28358,FS-1460536,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,63,11,DZ8B,PARADISE,NA,NA,NA,NA,NA,2008,179,1400,47,C,7,18,19
37619,37807,FS-1479589,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,108,19,EKV0,FAWN,NA,NA,NA,NA,NA,2009,211,1245,10.4,C,13,25,22
168242,169897,FS-398473,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,127,NA,AVN4,DURFEE,NA,NA,NA,NA,NA,2004,201,1357,10.4,C,17,43,13
11468,11520,FS-1439315,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,210,35,B6TU,LOCO,NA,NA,NA,NA,NA,2006,206,1436,10,C,3,0,33
8542,8584,FS-1435103,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,14,7,CE4A,DAY,NA,NA,NA,NA,NA,2006,88,1230,7.1,B,21,29,23
10891,10940,FS-1438523,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,167,38,CZ69,DUTCH OVEN,NA,NA,NA,NA,NA,2006,201,1000,7,B,4,6,35
25416,25536,FS-1456919,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,15,5,C64R,FIVE MILE,NA,NA,NA,NA,NA,2007,124,900,7,B,10,0,32
38614,38805,FS-1480747,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,10,3,EKV0,O HACO,NA,NA,NA,NA,NA,2009,115,1430,7,B,22,37,12
161480,163053,FS-391042,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,203,NA,5555,PANTHER,NA,NA,NA,NA,NA,2003,204,1620,7,B,9,20,11
161393,162966,FS-390955,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,88,NA,5555,CAMPBELL,NA,NA,NA,NA,NA,2003,185,1220,6.8,B,8,0,13
29630,29777,FS-1469863,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,125,24,DZ8B,BARDMAN,NA,NA,NA,NA,NA,2008,214,1500,6.5,B,14,20,27
170385,172058,FS-400821,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,200,NA,AVN4,SNARE,NA,NA,NA,NA,NA,2004,238,1500,6.5,B,9,21,18
248,252,FS-1419430,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,24,10,BEX6,WILDCAT,NA,NA,NA,NA,NA,2005,150,1127,6,B,9,0,28
40820,41019,FS-1483332,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,301,Apache-Sitgreaves National Forest,168,58,EKV0,NO GOOD NAME,NA,NA,NA,NA,NA,2009,267,1100,6,B,5,0,43
